IMDB_ID,Title,Stars,Year,Genres,Description,Certificate,Writers,Director,Primary Genre,Votes,Rating,Duration
tt0053143,Operation Petticoat,"Cary Grant, Tony Curtis, Joan O'Brien, Cary Grant, Tony Curtis, Joan O'Brien",1959,"Comedy, Romance, War, Back to top","During World War II, a commander finds himself stuck with a decrepit (and pink) submarine, a con man executive officer, and a group of army nurses.",Approved,"Stanley Shapiro, Maurice Richlin, Paul King",Blake Edwards,Comedy,16563,7.2,124
tt0475355,Pride,"Terrence Howard, Bernie Mac, Kimberly Elise, Terrence Howard, Bernie Mac, Kimberly Elise",2007,"Water Sport, Drama, Sport, Back to top",The determined Jim Ellis starts a swim team for troubled teens at the Philadelphia Department of Recreation.,PG,"Kevin Michael Smith, Michael Gozzard, J. Mills Goodloe",Sunu Gonera,Water Sport,7046,6.3,109
tt0085936,Mickey's Christmas Carol,"Alan Young, Wayne Allwine, Hal Smith, Alan Young, Wayne Allwine, Hal Smith",1983,"Hand-Drawn Animation, Holiday Animation, Holiday Comedy, Holiday Family, Animation, Comedy, Family, Fantasy, Holiday, Short, Back to top",The classic Disney animated characters play the roles in this animated retelling of the Charles Dickens masterpiece.,G,"Burny Mattinson, Charles Dickens, Tony Marino",Burny Mattinson,Hand-Drawn Animation,16510,8,26
tt0166485,Anna and the King,"Jodie Foster, Chow Yun-Fat, Bai Ling, Jodie Foster, Chow Yun-Fat, Bai Ling",1999,"Period Drama, Drama, History, Romance, Back to top","The story of the romance between the King of Siam and widowed British schoolteacher, Anna Leonowens, during the 1860s.",PG-13,"Anna Leonowens, Peter Krikes, Steve Meerson",Andy Tennant,Period Drama,39654,6.7,148
tt0382330,As It Is in Heaven,"Michael Nyqvist, Frida Hallgren, Helen Sjöholm, Michael Nyqvist, Frida Hallgren, Helen Sjöholm",2004,"Comedy, Drama, Music, Romance, Back to top",A famous international conductor returns to his small childhood town in Sweden for early retirement. He's asked to help with the church choir. He affects the lives of all in the choir.,Not Rated,"Ola Olsson, Carin Pollak, Anders Nyberg",Kay Pollak,Comedy,18660,7.5,133
tt0100201,Mr. Destiny,"Jim Belushi, Linda Hamilton, Michael Caine, Jim Belushi, Linda Hamilton, Michael Caine",1990,"Comedy, Fantasy, Romance, Back to top",Unhappy Larry Burrows sees what his life could have been like if he had made that winning home run as a teenager.,PG-13,"Jim Cruickshank, James Orr",James Orr,Comedy,13828,6.4,116
tt0112688,Clockers,"Harvey Keitel, John Turturro, Delroy Lindo, Harvey Keitel, John Turturro, Delroy Lindo",1995,"Crime, Drama, Mystery, Back to top","Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them.",R,"Spike Lee, Richard Price",Spike Lee,Crime,24045,6.9,128
tt0071771,The Longest Yard,"Burt Reynolds, Eddie Albert, Ed Lauter, Burt Reynolds, Eddie Albert, Ed Lauter",1974,"Football, Prison Drama, Comedy, Crime, Drama, Sport, Back to top","A sadistic warden asks a former pro quarterback, now serving time in his prison, to put together a team of inmates to take on (and get pummeled by) the guards.",R,"Tracy Keenan Wynn, Albert S. Ruddy",Robert Aldrich,Football,22237,7.1,121
tt0360486,Constantine,"Keanu Reeves, Rachel Weisz, Djimon Hounsou, Keanu Reeves, Rachel Weisz, Djimon Hounsou",2005,"Monster Horror, Superhero, Supernatural Fantasy, Supernatural Horror, Action, Fantasy, Horror, Mystery, Back to top","Detective Angela approaches Constantine, a demon hunter, to help her investigate her twin sister's mysterious death. As he digs deeper, he realizes that demons are trying to enter the human ... Read all",R,"Jamie Delano, Garth Ennis, Kevin Brodbin",Francis Lawrence,Monster Horror,389348,7,121
tt0108265,Swing Kids,"Robert Sean Leonard, Christian Bale, Frank Whaley, Robert Sean Leonard, Christian Bale, Frank Whaley",1993,"Drama, Music, Back to top",A group of teens adores forbidden music in Nazi Germany just before the outbreak of World War II.,PG-13,Jonathan Marc Feldman,Thomas Carter,Drama,17733,6.8,112
